feature_gas_0,feature_gas_1,feature_gas_2,feature_gas_3,feature_gas_4,target_gas_5
378.22,370.7027027027027,371.06382978723406,375.26666666666665,370.14,369.06
370.7027027027027,371.06382978723406,375.26666666666665,370.14,369.06,363.5
371.06382978723406,375.26666666666665,370.14,369.06,363.5,378.46
375.26666666666665,370.14,369.06,363.5,378.46,360.72
370.14,369.06,363.5,378.46,360.72,365.53061224489795
369.06,363.5,378.46,360.72,365.53061224489795,359.76
363.5,378.46,360.72,365.53061224489795,359.76,360.94
378.46,360.72,365.53061224489795,359.76,360.94,359.1470588235294
360.72,365.53061224489795,359.76,360.94,359.1470588235294,360.2
365.53061224489795,359.76,360.94,359.1470588235294,360.2,359.9
359.76,360.94,359.1470588235294,360.2,359.9,360.8
360.94,359.1470588235294,360.2,359.9,360.8,362.1304347826087
359.1470588235294,360.2,359.9,360.8,362.1304347826087,361.66
360.2,359.9,360.8,362.1304347826087,361.66,362.14
359.9,360.8,362.1304347826087,361.66,362.14,362.6530612244898
360.8,362.1304347826087,361.66,362.14,362.6530612244898,364.625
362.1304347826087,361.66,362.14,362.6530612244898,364.625,362.42
361.66,362.14,362.6530612244898,364.625,362.42,361.72
362.14,362.6530612244898,364.625,362.42,361.72,352.84
362.6530612244898,364.625,362.42,361.72,352.84,323.7755102040816
364.625,362.42,361.72,352.84,323.7755102040816,302.9375
362.42,361.72,352.84,323.7755102040816,302.9375,287.82
361.72,352.84,323.7755102040816,302.9375,287.82,274.84
352.84,323.7755102040816,302.9375,287.82,274.84,263.6470588235294
323.7755102040816,302.9375,287.82,274.84,263.6470588235294,253.98
302.9375,287.82,274.84,263.6470588235294,253.98,245.6734693877551
287.82,274.84,263.6470588235294,253.98,245.6734693877551,238.74
274.84,263.6470588235294,253.98,245.6734693877551,238.74,232.92
263.6470588235294,253.98,245.6734693877551,238.74,232.92,227.8
253.98,245.6734693877551,238.74,232.92,227.8,223.40816326530611
245.6734693877551,238.74,232.92,227.8,223.40816326530611,219.54
238.74,232.92,227.8,223.40816326530611,219.54,216.34
232.92,227.8,223.40816326530611,219.54,216.34,213.26
227.8,223.40816326530611,219.54,216.34,213.26,211.44444444444446
223.40816326530611,219.54,216.34,213.26,211.44444444444446,208.6578947368421
219.54,216.34,213.26,211.44444444444446,208.6578947368421,206.3
216.34,213.26,211.44444444444446,208.6578947368421,206.3,204.3235294117647
213.26,211.44444444444446,208.6578947368421,206.3,204.3235294117647,202.3939393939394
211.44444444444446,208.6578947368421,206.3,204.3235294117647,202.3939393939394,200.68
208.6578947368421,206.3,204.3235294117647,202.3939393939394,200.68,198.94
206.3,204.3235294117647,202.3939393939394,200.68,198.94,197.76
204.3235294117647,202.3939393939394,200.68,198.94,197.76,196.20408163265307
202.3939393939394,200.68,198.94,197.76,196.20408163265307,195.0408163265306
200.68,198.94,197.76,196.20408163265307,195.0408163265306,193.92
198.94,197.76,196.20408163265307,195.0408163265306,193.92,193.0
197.76,196.20408163265307,195.0408163265306,193.92,193.0,192.27272727272728
196.20408163265307,195.0408163265306,193.92,193.0,192.27272727272728,191.04545454545453
195.0408163265306,193.92,193.0,192.27272727272728,191.04545454545453,189.78
193.92,193.0,192.27272727272728,191.04545454545453,189.78,189.0
193.0,192.27272727272728,191.04545454545453,189.78,189.0,188.2
192.27272727272728,191.04545454545453,189.78,189.0,188.2,187.89795918367346
191.04545454545453,189.78,189.0,188.2,187.89795918367346,186.84
189.78,189.0,188.2,187.89795918367346,186.84,186.0
189.0,188.2,187.89795918367346,186.84,186.0,185.58
188.2,187.89795918367346,186.84,186.0,185.58,184.5
187.89795918367346,186.84,186.0,185.58,184.5,184.0
186.84,186.0,185.58,184.5,184.0,183.3
